油位高度(mm),理论储油量(L)
0,19.399
10,25.326
20,32.193
30,40.032
40,48.874
50,58.746
60,69.671
70,81.671
80,94.764
90,108.96
100,124.117
110,140.032
120,156.59
130,173.705
140,191.304
150,209.324
160,227.708
170,246.404
180,265.364
190,284.541
200,303.892
210,323.374
220,342.945
230,362.565
240,382.193
250,401.789
260,421.312
270,440.721
280,459.974
290,479.028
300,497.838
310,516.355
320,534.53
330,552.308
340,569.628
350,586.423
360,602.612
370,618.094
380,632.714
390,646.257
400,658.7
410,670.061
420,680.36
430,689.619
440,697.863
450,705.123
460,711.428
470,716.817
